n	signature	member	kind	quality	statement	other_statements	recorded_at	n_places	origins	verified_labels	unverified_label_guesses	pinned	deviations_txt	sources	from_notes_tsv_row
168	REAL	Real.fromString, scan (Real, Real32); Real.scan, fromString	Reading	note	A numeral is rounded in the CURRENT rounding mode (MLton, C strtod, Rune); SML/NJ and Poly/ML always round to nearest.	[lib] The numeral is handed as text to the C library (strtod): correctly rounded in the current rounding mode; overflow gives infinity, underflow zero.	tests/basis/deviations.txt:161-163,563; docs/language.md:201,266; lib/basis/real.sml:274-277; tests/basis/real_fmt.sml:519-523	6	deviations,docs,lib-body,tests	Real.fromString/TO_NEGINF-negative, Real32.fromString/TO_*	TO_POSINF-*, TO_ZERO-*	yes	smlnj:161-162 polyml:163,563 -- NOT in basis-compat readings table	lib,mine	18
169	REAL	Real.nextAfter; Real32.nextAfter	Reading	note	nextAfter (r, t) with r = t returns r with its sign, also for 0.0 vs ~0.0 (SML/NJ); MLton, Poly/ML return t as C does. Real and Real32.	"[testsB] Zeros compare equal, so nextAfter (r, t) with zeros of opposite sign returns r with r's sign, whereas C's nextafter returns t. || [lib] ""If r = t then it returns r"": nextAfter (~0.0, 0.0) is ~0.0, unlike C's nextafter which returns t. || [testsB] Same reading as Real: with zeros of opposite sign r = t holds, so r is returned with its own sign. || [lib] Same r = t reading as Real (~0.0 for (~0.0, 0.0)); steps by binary32 spacing."	tests/basis/deviations.txt:107-108,556-557; docs/basis-compat.md:339; lib/basis/real.sml:86-87; lib/basis/real32.sml:98-100; tests/basis/real.sml:647-649; tests/basis/real32.sml:133	7	deviations,docs,lib-body,tests	Real.nextAfter/equal-zeros-returns-r*, Real32.nextAfter/equal-zeros-returns-r*, Real.nextAfter/equal-zeros, Real.nextAfter/equal-zeros-returns-r, Real.nextAfter/equal-zeros-returns-r-positive, Real32.nextAfter/equal-zeros-returns-r, Real32.nextAfter/equal-zeros-returns-r-positive		yes	mlton:107,556 polyml:108,557	lib,mine,testsB	5
170	REAL	Real.realFloor	Reading	note	The page is silent on the sign of a zero result of realFloor/realCeil/realTrunc/realRound; the test takes IEEE 754: the sign of the operand is kept (~0.0).		tests/basis/real.sml:736-737	1	tests	Real.realFloor/negzero-sign, Real.realCeil/negzero-sign, Real.realTrunc/negzero-sign, Real.realRound/negzero-sign		yes		testsB	
171	REAL	Real.rem	Reading	note	The sign of a zero remainder is left open ('same sign as x' vs x - n*y = +0); not checked.	"[testsB] x - n*y gives +0 while ""same sign as x"" would give ~0: the sign of a zero remainder is left open, and the test only checks that it equals 0.0."	tests/basis/real.sml:192-193	1	tests	Real.rem/exact-multiple-negative-x, Real.rem/law-sign-and-magnitude		yes	no	mine,testsB	28
172	REAL	Real.rem	Reading	note	x - n*y with n = trunc(x/y), computed exactly; NaN for infinite x or zero y; x for infinite y.		lib/basis/real.sml:58	1	lib-body			no		lib	
173	REAL	Real.round, realRound	Reading	note	Ties go to even for realRound too (page states the tie rule under round only; IEEE round-to-integral agrees).		tests/basis/real.sml:720-722	1	tests	Real.realRound/tie-half, Real.realRound/tie-one-and-half, Real.realRound/tie-two-and-half		yes	no (polyml HOST-BUG)	mine	29
174	REAL	Real.signBit	Reading	note	Reports the sign bit of zeros and NaNs too.		lib/basis/real.sml:35	1	lib-body			no		lib	
175	REAL	Real.split, realMod	Reading	note	whole and frac carry the sign of r; an infinity has fraction zero.		lib/basis/real.sml:78	1	lib-body			no		lib	
176	REAL	Real.toManExp	Reading	note	"""1.0 <= man * radix < radix"" is read as 0.5 <= |man| < 1.0 for radix 2, the frexp convention."		tests/basis/real.sml:528-529	1	tests	Real.toManExp/one, Real.toManExp/eight, Real.toManExp/three-quarters, Real.toManExp/negative, Real.toManExp/minPos, Real.toManExp/subnormal		yes		testsB	
177	REAL	Real32.fmt	Reading	quote-only	Quote: Size is raised when fmt spec is evaluated.		lib/basis/real32.sml:159	1	lib-body			no		lib	
178	REAL	Real32.fromString; Real32.scan, fromString	Reading	note	A decimal numeral is rounded once, directly to binary32, not first to binary64: a value just above a binary32 tie that binary64 would round away rounds up.	[lib] strtof on the text with its sign, rounded once in the current rounding mode.	lib/basis/real32.sml:165-166; tests/basis/real32.sml:205-206	2	lib-body,tests	Real32.fromString/rounded-once		yes		lib,testsB	
179	SML90	SML90.Sqrt, Ln, Ord, Io, Interrupt, Quot; SML90	Reading	note	Page is gone. Arithmetic exceptions are Overflow, Mod is Div, Sqrt/Ln/Ord/Io/Interrupt are exceptions of their own (MLton); Poly/ML makes Sqrt/Ln Overflow. Whether Quot is Overflow or Div is not checked.	[lib] As MLton and Poly/ML: arithmetic exceptions alias Overflow, Mod is Div; Sqrt, Ln, Ord, Io, Interrupt are new; sqrt, ln, ord and stream functions raise them.	tests/basis/deviations.txt:549-550; docs/language.md:267; lib/basis/sml90.sml:1-5; tests/basis/spec-sigs/SML90.sml:1-4; tests/basis/sml90.sml:2-7	5	deviations,docs,lib-body,spec-sigs,tests	SML90.Sqrt/new, SML90.Ln/new		yes	polyml:549-550 -- NOT in basis-compat readings table	lib,mine	19
180	SML90	SML90.lookahead	Reading	note	"Returns """" at end of stream, the same as for a closed stream."		lib/basis/sml90.sml:44	1	lib-body			no		lib	
181	SOCKET	Socket.AF.fromString	Reading	note	"Family names are taken to be the C constants without the leading ""AF_"" (""INET"", ""UNIX""); ""AF_INET"" gives NONE."		tests/basis/socket.sml:37-38	1	tests	Socket.AF.fromString/with-AF_-prefix, Socket.AF.fromString/unknown, Socket.AF.fromString/empty		yes		testsB	
182	SOCKET	Socket.Ctl (defaults, setDEBUG, buffer sizes); Socket.Ctl; Socket.Ctl.setDEBUG	Reading	note	Defaults are the C socket interface's (flags off); setDEBUG tried with false only (needs privileges); buffer sizes checked to be at least what was asked.	[testsB] The page gives no defaults for the options; the test takes those of the C socket interface: every flag starts off. || [testsB] setDEBUG is only tried with false: turning SO_DEBUG on needs privileges (Linux answers EACCES).	tests/basis/socket_ctl.sml:3-11	1	tests	Socket.Ctl.getDEBUG/default, Socket.Ctl.getREUSEADDR/default, Socket.Ctl.getKEEPALIVE/default, Socket.Ctl.getDONTROUTE/default, Socket.Ctl.getBROADCAST/default, Socket.Ctl.getOOBINLINE/default, Socket.Ctl.setDEBUG/off	Socket.Ctl.setSNDBUF/*	yes	no	mine,testsB	118
183	SOCKET	Socket.Ctl.setLINGER	Reading	note	Time is raised for a negative time or one of 2^31 seconds or more, since the system keeps seconds in a C int.		lib/basis/socket.sml:254-255	1	lib-body			no		lib	
184	SOCKET	Socket.recvVec (n = 0); Socket.recvVec, recvVecNB (and ' forms)	Reading	note	'if n is 0 the empty vector is returned': at once, only checking that the socket is open (the system would wait).	[lib] Size if n<0 or n>Word8Vector.maxLen; n=0 returns the empty vector without waiting, only checking that the socket is open.	docs/language.md:223; lib/basis/socket.sml:174-177	2	docs,lib-body	Socket.recvVec/zero*		yes	no	lib,mine	119
185	SOCKET	Socket.recvVecNB	Reading	note	As recvVec (sock, 0) gives the empty vector without waiting, recvVecNB (sock, 0) is SOME of the empty vector, not NONE, even when no data is there.		tests/basis/socket_io.sml:193	1	tests	Socket.recvVecNB/zero		yes		testsB	
186	SOCKET	Socket.select	Reading	note	"Built on OS.IO.poll; a negative timeout raises SysErr (EINVAL) rather than meaning ""no timeout""."		lib/basis/socket.sml:273-275	1	lib-body			no		lib	
187	SOCKET	Socket.shutdown	Reading	note	"Beyond ""further sends will be disallowed"": the peer of a socket shut down with NO_SENDS sees the end of the stream, after the data sent before."		tests/basis/socket.sml:261-264	1	tests	Socket.shutdown/NO_SENDS-peer-sees-the-end, Socket.NO_SENDS/data-sent-before-arrives, Socket.NO_RECVS_OR_SENDS/peer-sees-the-end, Socket.shutdown/unix-NO_SENDS		yes		testsB	
188	STREAM_IO	STREAM_IO.filePosIn	Reading	note	"""Does not support the operation"" = the reader lacks getPos/setPos; the cause of the Io is taken from io.html: RandomAccessNotSupported."		tests/basis/fn/stream_io_fn.sml:453-455	1	tests	<name>.filePosIn/Io-without-positions, <name>.filePosIn/Io-cause		yes		testsB	
189	STREAM_IO	STREAM_IO.input	Reading	note	From io.html: the Io raised on a reader error carries the reader's exception as cause and the reader's name as name.		tests/basis/fn/stream_io_fn.sml:174-176	1	tests	<name>.input/Io-when-the-reader-fails, <name>.input/Io-name-is-the-reader's		yes		testsB	
190	STREAM_IO	STREAM_IO.inputN; StreamIO.inputN	Reading	note	When fewer than n elements come before an end-of-stream, the returned stream is equivalent to the one of inputAll: immediately past that end-of-stream.	[lib] Fewer than n before end-of-stream: returns them and the stream after that EOS (as inputAll); exactly n ending at EOS leaves the stream before it.	lib/basis/streamio_fn.sml:129-132; tests/basis/fn/stream_io_fn.sml:225-228	2	lib-body,tests	<name>.inputN/fewer-then-past-the-end-of-stream		yes		lib,testsB	
191	STREAM_IO	STREAM_IO.mkOutstream	Reading	note	(marginal, helper) The stream-io table says output needs the augmented writer to implement writeArr, so the test writers get a writeArr made from writeVec and nothing else.		tests/basis/fn/io_script.sml:36-39	1	tests		(helper mkWriter, no label of its own)	no		testsB	
192	STREAM_IO	STREAM_IO.output	Reading	note	Output on a closed or terminated stream raises Io whose cause is, per io.html, ClosedStream, and nothing is written.		tests/basis/fn/stream_io_fn.sml:526-528	1	tests	<name>.output/Io-closed, <name>.output/Io-terminated, <name>.output/Io-terminated-writes-nothing, <name>.output1/Io-closed, <name>.output1/Io-terminated		yes		testsB	
193	STREAM_IO	StreamIO (all operations)	Reading	quote-only	Quote: exceptions from the reader or writer are caught and re-raised as the cause of IO.Io.		lib/basis/streamio_fn.sml:32-34	1	lib-body			no		lib	
194	STREAM_IO	StreamIO.canInput	Reading	note	Counts what is already buffered, then what readVecNB yields (kept, committing the stream to it), else what the reader reports.		lib/basis/streamio_fn.sml:163-166	1	lib-body			no		lib	
195	STREAM_IO	StreamIO.closeIn	Reading	quote-only	Quote: marks closed and closes the reader; closing a truncated or closed stream is allowed.		lib/basis/streamio_fn.sml:87-88	1	lib-body			no		lib	
196	STREAM_IO	StreamIO.closeOut	Reading	note	No effect if already closed; no flush if terminated; a failed flush leaves the stream open.		lib/basis/streamio_fn.sml:297-300	1	lib-body			no		lib	
197	STREAM_IO	StreamIO.filePosIn	Reading	note	A reader with getPos may still not know its position (a pipe); chunks read then carry no position.		lib/basis/streamio_fn.sml:47-49	1	lib-body			no		lib	
198	STREAM_IO	StreamIO.filePosIn	Reading	quote-only	Quote: position of the next element; Io if unsupported or the stream is truncated.		lib/basis/streamio_fn.sml:199-202	1	lib-body			no		lib	
199	STREAM_IO	StreamIO.flushOut	Reading	note	The buffer is emptied before it is handed to the writer, so a failing writer never causes data to be written twice.		lib/basis/streamio_fn.sml:235-237	1	lib-body			no		lib	
200	STREAM_IO	StreamIO.flushOut	Reading	quote-only	Quote: no-op on terminated streams.		lib/basis/streamio_fn.sml:293-294	1	lib-body			no		lib	
201	STREAM_IO	StreamIO.getPosOut	Reading	quote-only	Quote: Io if unsupported, if implicit flushing fails, or if terminated.		lib/basis/streamio_fn.sml:324-325	1	lib-body			no		lib	
202	STREAM_IO	StreamIO.getReader	Reading	quote-only	Quote: truncates, returns the reader plus unconsumed data; Io if closed or truncated.		lib/basis/streamio_fn.sml:92-94	1	lib-body			no		lib	
203	STREAM_IO	StreamIO.getWriter	Reading	quote-only	Quote: flushes, terminates, returns writer and mode; Io if closed or the flush fails.		lib/basis/streamio_fn.sml:315-317	1	lib-body			no		lib	
204	STREAM_IO	StreamIO.input	Reading	note	Returns the rest of the current chunk; at end-of-stream returns empty and moves past that end-of-stream.		lib/basis/streamio_fn.sml:112-113	1	lib-body			no		lib	
205	STREAM_IO	StreamIO.instream	Reading	note	The segment chain continues after an end-of-stream because a file may grow; streams sharing a segment read the same elements.		lib/basis/streamio_fn.sml:1-18	1	lib-body			no		lib	
206	STREAM_IO	StreamIO.output, flushOut	Reading	quote-only	Quote: partial writes are retried until everything is written.		lib/basis/streamio_fn.sml:225-227	1	lib-body			no		lib	
207	STREAM_IO	StreamIO.setBufferMode	Reading	quote-only	Quote: switching to NO_BUF flushes; switching between LINE_BUF and BLOCK_BUF does not.		lib/basis/streamio_fn.sml:307-309	1	lib-body			no		lib	
208	STREAM_IO	StreamIO.setPosOut	Reading	quote-only	Quote: flushes, sets the position recorded in opos, returns the stream.		lib/basis/streamio_fn.sml:333-335	1	lib-body			no		lib	
209	STREAM_IO	functor StreamIO	Reading	note	Streams built with the StreamIO functor treat LINE_BUF as BLOCK_BUF, since no element is known to be a newline.		lib/basis/io_functors.sml:45-46	1	lib-body			no		lib	
210	STREAM_IO	mkOutstream	Reading	note	Spec leaves open whether mkOutstream augments its writer (Poly/ML writes a block buffer with writeArr); the test hands it an augmented writer.		tests/basis/io_functors.sml:49-51	1	tests		none specific	no	no	mine	24
211	STRING	String.^, concat, implode … (Size); String.maxSize	Reading	note	Size is not checked by the suite: it needs strings of about String.maxSize (2^24-1 on one system, > 2^59 on another).	[testsB] Size is not checked for String: it needs about String.maxSize characters, which is 2^24 - 1 on one system and more than 2^59 on another.	tests/basis/string.sml:2-11	1	tests	String.maxSize/positive, String.maxSize/holds-a-long-string	none	yes	no	mine,testsB	121
212	STRING	String.fields, tokens	Reading	note	fields: every delimiter separates (empty fields kept); tokens: delimiter runs collapse and empty pieces vanish.		lib/basis/string.sml:43	1	lib-body			no		lib	
213	STRING	String.fromCString	Reading	note	"\x takes ""the longest sequence"" of hex digits, so \x42C is 1068, no character: conversion stops there rather than reading \x42 then ""C""."		tests/basis/string.sml:400	1	tests	String.fromCString/stops-at-hex-longest-sequence		yes		testsB	
214	STRING	String.fromString	Reading	note	"(marginal) Escaped formatting sequences \f...f\ are passed over and count as scanned, so a string of only such a sequence gives SOME """", also before an illegal escape."		tests/basis/string.sml:307	1	tests	String.fromString/format-inside, String.fromString/format-first, String.fromString/format-last, String.fromString/format-then-illegal-escape, String.fromString/format-unterminated		yes		testsB	
215	STRING	String.fromString	Reading	note	Formatting sequences are skipped around every character.		lib/basis/string.sml:69	1	lib-body			no		lib	
216	STRING	String.fromString, String.scan	Reading	note	Unescaped double quote converts to itself (SML/NJ, Poly/ML, Rune); MLton stops at it.		tests/basis/deviations.txt:57; docs/basis-compat.md:337; tests/basis/string.sml:325-334	3	deviations,docs,tests	String.fromString/unescaped-double-quote	/unescaped-double-quote-first	yes	mlton:57	mine	2
217	STRING	String.fromString, fromCString, scan	Reading	note	"Scans as many characters as possible; NONE only if neither a character nor a formatting sequence could be read (empty input gives SOME """")."		lib/basis/char.sml:119-120	1	lib-body			no		lib	
218	STRING	WideString.fields, tokens	Reading	note	Same fields/tokens reading as String: every delimiter separates; tokens collapse runs and drop empties.		lib/basis/widestring.sml:33-34	1	lib-body			no		lib	
219	STRING	WideString.fromString, fromCString	Reading	note	Reads escapes from 8-bit text, skipping formatting sequences around each character as WideChar.scan does.		lib/basis/widestring.sml:91-92	1	lib-body			no		lib	
220	STRING	WideString.fromString, scan	Reading	note	As many characters as can be read; NONE only when neither a character nor a formatting sequence was read.		lib/basis/widestring.sml:73-75	1	lib-body			no		lib	
221	STRING	WideString.scan	Reading	note	UNRECORDED: WideString.scan over a wide stream STOPS at an unescaped double quote (lib/basis/widestring.sml:136) while String.scan and WideString.fromString convert it -- Rune takes both readings.		lib/basis/widestring.sml:136	1	lib-body		none	no	no	mine	3
222	STRING	WideString.scan	Reading	note	From a wide-character stream, escapes must be spelled with ASCII characters; a character needing no escape stands for itself.		lib/basis/widestring.sml:98-99	1	lib-body			no		lib	
223	STRING (WideString)	WideString.scan (type); WideString.scan; WideString.toString, fromString, toCString, fromCString; WideString, WideSubstring	Reading	note	scan reads a stream of WideChar.char as the STRING page writes it ((char,'a) reader with the structure's own char); MLton's reads 8-bit char.	[testsB] As the STRING signature writes it, WideString.scan reads a stream of wide characters (unlike WideChar.scan, which reads char). || [lib] As the signatures are written, these take/give 8-bit text while scan reads wide characters; characters above 255 appear as \uXXXX or \UXXXXXXXX. || [lib] Optional; WideString.string is WideCharVector.vector and WideSubstring.substring is WideCharVectorSlice.slice.	tests/basis/deviations.txt:580-582; docs/language.md:269; lib/basis/widestring.sml:1-8; tests/basis/widestring.sml:106	4	deviations,docs,lib-body,tests	WideString.scan/reads-wide-characters, WideString.scan/stops-at-a-character-it-cannot-read	@load/widestring_sig, @load/widetext_sig, @section/widestring/text	yes	mlton:580-582 -- NOT in basis-compat readings table	lib,mine,testsB	20
224	STRING_CVT	StringCvt.padLeft	Reading	note	For the smallest int, i - |s| does not exist as an int; s must still be returned (no Overflow).		tests/basis/stringcvt.sml:176	1	tests	StringCvt.padLeft/width-minInt, StringCvt.padRight/width-minInt		yes		testsB	
225	STRING_CVT	StringCvt.padLeft, padRight	Reading	note	Size is raised when the padded width would exceed String.maxSize (1073741823).		lib/basis/stringcvt.sml:22	1	lib-body			no		lib	
226	STRING_CVT	StringCvt.realfmt	Reading	note	The constructors carry any int option, including one that no format accepts (SCI (SOME ~1)); Size belongs to fmt, not to the constructor.		tests/basis/stringcvt.sml:96	1	tests	StringCvt.SCI/carries-negative		yes		testsB	
227	STRING_CVT	StringCvt.scanString	Reading	note	"splitl asks the source of scanString for no more than the one character that stops it (3 reads for ""12abcdef"")."		tests/basis/stringcvt.sml:395	1	tests	StringCvt.scanString/splitl-reads-one-character-ahead		yes		testsB	
228	STRING_CVT	StringCvt.skipWS	Reading	note	Checks that need carriage return, vertical tab and formfeed skipped (the full Char.isSpace) are labelled wsx-*; the others need only space, tab and newline.		tests/basis/stringcvt.sml:284-289	1	tests	StringCvt.skipWS/wsx-every-whitespace-character, StringCvt.skipWS/wsx-exactly-the-six-characters		yes		testsB	
229	STRING_CVT	StringCvt.splitl	Reading	note	"""Will often use lookahead characters"" is pinned as: the character that stops the scan is read, and nothing after it."		tests/basis/stringcvt.sml:237-239	1	tests	StringCvt.splitl/reads-no-further-than-first-failing, StringCvt.skipWS/reads-no-further-than-first-non-whitespace		yes		testsB	
230	STRING_CVT / SUBSTRING	padLeft, padRight, concat (Size); StringCvt.padLeft	Reading	note	Size above String.maxSize is checked only where maxSize <= 2^26 (an implementation that forgets the check would exhaust memory).	[testsB] Size is checked only where String.maxSize <= 2^26 and maxSize + 1 exists as an int; elsewhere the attempt could exhaust memory.	tests/basis/stringcvt.sml:2-15,186-187; tests/basis/substring.sml:2-22	3	tests		StringCvt.padLeft/Size-*, StringCvt.padLeft/Size, StringCvt.padRight/Size, StringCvt.padLeft/Size-empty-string, StringCvt.padRight/Size-empty-string	no	no	mine,testsB	46
231	SUBSTRING	Substring.fields, tokens	Reading	note	fields: every delimiter ends a field; tokens are the non-empty fields.		lib/basis/substring.sml:98	1	lib-body			no		lib	
232	SUBSTRING	Substring.position	Reading	note	For the empty string, m = 0 and s'[i..i-1] is empty, so k = i: pref is empty at i and suff is all of ss.		tests/basis/substring.sml:618	1	tests	Substring.position/empty-string, Substring.position/empty-string-in-empty, Substring.position/empty-string-in-empty-string, Substring.position/empty-string-at-the-end		yes		testsB	
233	SUBSTRING	Substring.position	Reading	note	suff is the longest suffix starting with t, or the empty substring at the end of ss when t does not occur.		lib/basis/substring.sml:81-82	1	lib-body			no		lib	
234	SUBSTRING	Substring.span	Reading	note	"""unless s <> s'"" compares the underlying strings by value (pointer test, then characters): two equal strings built separately count as one base for span."	[lib] Quote only: Span if the base strings differ or i'+n' < i.	lib/basis/substring.sml:91; tests/basis/substring.sml:664-667	2	lib-body,tests	Substring.span/equal-strings-built-separately		yes		lib,testsB	
235	SUBSTRING	Substring.triml, trimr	Reading	note	Position of the empty result when k exceeds the size is left open: only size, base string and containment are checked.		tests/basis/substring.sml:2-22	1	tests		Substring.triml/*, trimr/*	no	no	mine	44
236	SUBSTRING	Substring.triml, trimr	Reading	note	Subscript for negative k is raised when `triml k` is evaluated, before the substring is given.		lib/basis/substring.sml:33	1	lib-body			no		lib	
237	SUBSTRING	WideSubstring.position	Reading	note	Quote plus reading: ss itself and the empty suffix when s does not occur.		lib/basis/widestring.sml:211-213	1	lib-body			no		lib	
238	SUBSTRING	WideSubstring.span	Reading	quote-only	Quote: from the start of ss to the end of ss'; both must come from the same string.		lib/basis/widestring.sml:224-225	1	lib-body			no		lib	
239	TEXT_IO	TextIO file readers	Reading	note	After close, everything except close and getPos raises Io with cause ClosedStream.		lib/basis/textio.sml:74-76	1	lib-body			no		lib	
240	TEXT_IO	TextIO.endOfStream	Reading	note	"endOfStream does not consume the end-of-stream it finds: it stays true until a read consumes it, that read returns """", and only then are new elements seen."		tests/basis/textio.sml:1147-1151	1	tests	TextIO.endOfStream/file-grows-after-end-of-stream		yes		testsB	
241	TEXT_IO	TextIO.flushOut	Reading	note	"Via STREAM_IO (""no-op on terminated streams"", ""a closed stream is also terminated""), flushOut on a closed TextIO outstream is a no-op, not an Io exception."		tests/basis/textio.sml:345-346	1	tests	TextIO.flushOut/closed-stream-is-a-no-op		yes		testsB	
242	TEXT_IO	TextIO.inputAll	Reading	note	Multiple end-of-streams are real for files: a POSIX read returns what was appended after it reported end-of-file, so a second inputAll delivers the appended data.		tests/basis/textio.sml:513-520	1	tests	TextIO.inputAll/file-grows-after-end-of-stream		yes		testsB	
243	TEXT_IO	TextIO.inputLine	Reading	note	An inputLine that returns NONE does not consume the end-of-stream (TEXT_STREAM_IO returns no residual stream), so it keeps returning NONE even after the file grows.		tests/basis/textio.sml:533-535	1	tests	TextIO.inputLine/file-grows-after-end-of-stream		yes		testsB	
244	TEXT_IO	TextIO.openOut, openAppend, stdOut	Reading	note	Mode is LINE_BUF on a tty, else BLOCK_BUF, but the stream buffers nothing: the VM holds the block, so print and stream output stay in order.		lib/basis/textio.sml:109-115	1	lib-body			no		lib	
245	TEXT_IO	TextIO.outputSubstr	Reading	note	"Io {function} of outputSubstr is ""output"" ('equivalent to output') (MLton, Poly/ML); SML/NJ reports outputSubstr."		tests/basis/deviations.txt:88; docs/basis-compat.md:342; tests/basis/textio.sml:982-985	3	deviations,docs,tests	TextIO.outputSubstr/Io-closed-stream-function		yes	smlnj:88	mine	8
246	TEXT_IO	TextIO.print	Reading	quote-only	Quote: output to stdOut, then flushOut stdOut.		lib/basis/textio.sml:142	1	lib-body			no		lib	
247	TEXT_IO	TextIO.scanStream	Reading	note	By the implementation given on the page: the stream advances to where scan stopped on SOME and not at all on NONE.	[lib] The scanner runs on the functional stream; the imperative stream is left where the scan stopped (unchanged on failure).	lib/basis/textio.sml:145-146; tests/basis/textio.sml:993-997	2	lib-body,tests	TextIO.scanStream/number-then-rest	/stops-before-the-first-other-character	yes	no	lib,mine	25
248	TEXT_IO	TextIO.stdErr	Reading	quote-only	Quote: initially unbuffered (NO_BUF).		lib/basis/textio.sml:131	1	lib-body			no		lib	
249	TEXT_IO (WideTextIO)	WideTextIO; WideTextIO, WideTextPrimIO	Reading	note	"Spec names no encoding: files hold UTF-8; an invalid sequence raises Io with cause Fail ""UTF-8"". No host has WideTextIO."	"[lib] The spec is silent on how wide characters reach a file: file streams are TextIO streams in UTF-8; malformed input raises Io with cause Fail ""UTF-8"". || [lib] Optional; file encoding is UTF-8, one to four bytes per code point. || [testsB] Encoding choice: a file holds UTF-8 (h, e-acute, emoji, newline = 1 + 2 + 4 + 1 bytes); streams count characters, files count bytes."	docs/basis-compat.md:225-226; docs/language.md:272; lib/basis/widetextio.sml:1-9; tests/basis/widetextio.sml:2-7,17	5	docs,lib-body,tests	WideTextIO.output/writes-utf-8, WideTextIO.inputAll/reads-utf-8, WideTextIO.inputN/counts-characters-not-bytes	WideTextIO.*	yes	no	lib,mine,testsB	51
250	TEXT_IO	WideTextIO	Reading	note	The transcribed TEXT_IO writes its types as string and char, so WideTextIO is not matched against it; only WideTextPrimIO : PRIM_IO and the type identities are checked.		tests/basis/widetextio_sig.sml:3-6	1	tests	WideTextPrimIO:PRIM_IO/matches, WideTextIO.vector/is-WideString.string, WideTextIO.elem/is-WideChar.char		yes		testsB	
251	TEXT_STREAM_IO	TextIO.StreamIO.inputLine	Reading	note	A final line without newline gets one appended and leaves the stream after the end-of-stream; NONE at end-of-stream.		lib/basis/textio.sml:14-19	1	lib-body			no		lib	
252	TEXT_STREAM_IO	TextIO.StreamIO.outputSubstr	Reading	quote-only	Quote: equivalent to output (strm, Substring.string ss).		lib/basis/textio.sml:39	1	lib-body			no		lib	
253	TEXT_STREAM_IO	WideTextIO.StreamIO.inputLine	Reading	note	Same as TextIO: newline appended at an end-of-stream, NONE when nothing is left.		lib/basis/widetextio.sml:33-34	1	lib-body			no		lib	
254	TIME	Time (resolution, range, zeroTime)	Reading	note	Resolution and range are the implementation's: checks use microsecond-exact times, allow loss below 1 us, accept exact result or exception Time; zeroTime's epoch unspecified.		tests/basis/time.sml:2-15,81-82	2	tests		Time.*/	no	no	mine	36
255	TIME	Time.now	Reading	note	"zeroTime is ""a common reference point""; the test takes it to lie in the past, so now () > zeroTime."		tests/basis/time.sml:283-285	1	tests	Time.now/after-zeroTime		yes		testsB	
256	TIMER	Timer.checkCPUTimer etc.	Reading	note	Only properties are checked (non-negative, monotone, the page's equivalences); a system without CPU accounting may return real time.		tests/basis/timer.sml:2-14	1	tests		Timer.*	no	no	mine	37
257	TIMER	Timer.totalCPUTimer	Reading	note	"The spec's ""system-dependent initialization time"" is taken as process start: the timer's base is zero CPU time."		lib/basis/timer.sml:20-21	1	lib-body			no		lib	
258	UNIX	Unix.execute	Reading	note	The page is silent on the working directory; the test expects the child to run in the current directory.		tests/basis/unix.sml:39	1	tests	Unix.execute/directory		yes		testsB	
259	UNIX	Unix.exit	Reading	note	"Runs the atExit actions, then the VM's exit, which flushes files; taken to satisfy ""flushes and closes all I/O streams""."		lib/basis/unix.sml:111-115	1	lib-body			no		lib	
260	UNIX	Unix.exit_status	Reading	quote-only	Quote: must be the same type as Posix.Process.exit_status; done by datatype replication.		lib/basis/unix.sml:5-6	1	lib-body			no		lib	
261	UNIX	Unix.reap	Reading	note	Closes the streams, waits, and caches the status so repeated calls agree; without W.untraced a merely stopped child does not end the wait.		lib/basis/unix.sml:94-98	1	lib-body			no		lib	
262	UNIX	Unix.signal, exit_status	Reading	note	signal 'would probably' be Posix.Signal.signal: Rune equates them; exit_status must be Posix.Process.exit_status.		docs/language.md:222; tests/basis/spec-sigs/UNIX.sml:3-6; tests/basis/unix.sml:3-12; tests/basis/unix_sig.sml:3-5	4	docs,spec-sigs,tests		Unix:UNIX/*	no	no	mine	48
263	VECTOR_SLICE	VectorSlice.appi	Reading	note	"The index passed by appi/mapi/foldli/foldri/findi is that ""of the corresponding element in the slice"": it starts at 0 whatever the slice's start in its vector."		tests/basis/vectorslice.sml:2-12	1	tests	VectorSlice.appi/index-in-the-slice, VectorSlice.mapi/index-in-the-slice, VectorSlice.findi/by-index, VectorSlice.findi/index-zero		yes		testsB	
264	WORD	WORD.fromString	Reading	note	"A prefix (0wx, 0x) with no digit after it is not part of the number, but its leading 0 is one: ""0wxg"", ""0x"", ""0x 12"" give SOME 0."		tests/basis/fn/word_fn.sml:369	1	tests	<name>.fromString/bare-prefix-0wx-then-non-digit, <name>.fromString/bare-prefix-0wx, <name>.fromString/bare-prefix-0x, <name>.fromString/bare-prefix-0x-then-space, <name>.fromString/prefix-twice		yes		testsB	
265	DATE	Date.date	Deviation	note	Not abstract: a transparent record {year, month, day, hour, minute, second, offset, wday, yday, isDst}; structure unsealed.		lib/basis/date.sml:8-11	1	lib-body			no		lib	
266	IMPERATIVE_IO	functor ImperativeIO	Deviation	note	Result is not ascribed IMPERATIVE_IO (the signature is declared later in load order); it only matches it.		lib/basis/io_functors.sml:1-11	1	lib-body			no		lib	
